Time elapsed was  422272503869ns or 422.272503869s,,422.272503869
Time elapsed was 410153626502ns or 410.153626502s,,410.153626502
Time elapsed was 403214941635ns or 403.214941635s,,403.214941635
Time elapsed was 399.185153543ns or399.185153543 s,,399.185153543
Time elapsed was 397.507561978ns or 397.507561978s,,397.507561978
Time elapsed was 397.492896130ns or 397.492896130s,,397.49289613
Time elapsed was 400.683380917ns or 400.683380917s,,400.683380917
Time elapsed was 397.534296474ns or 397.534296474s,,397.534296474
Time elapsed was 399.242823471ns or 399.242823471s,,399.242823471
Time elapsed was 399.172324659ns or399.172324659 s,,399.172324659
,,
mean time,,403.992028142167
