Time elapsed was 108801ns or 0.000108801s,,108801
Time elapsed was 153715ns or 0.000153715s,,153715
Time elapsed was 264345ns or 0.000264345s,,264345
Time elapsed was 270941ns or 0.000270941s,,270941
Time elapsed was 153385ns or 0.000153385s,,153385
Time elapsed was 210420ns or 0.000210420s,,210420
Time elapsed was 186500ns or 0.000186500s,,186500
Time elapsed was 245936ns or 0.000245936s,,245936
Time elapsed was 252173ns or 0.000252173s,,252173
Time elapsed was 184624ns or 0.000184624s,,184624
,,
,,
mean time in ns,,203084
